0,1,2,3,4,5,6,7
,,BDL,Bradley International,Windsor Locks,CT,A1,121
,,,,,,A2,3
,,BFL,Meadows Field,Bakersfield,CA,BFL01,47
,,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,Central,130
,,BIL,Billings Logan International,Billings,MT,BILM,10
,,BIS,Bismarck Municipal,Bismarck,ND,Checkpoint A,62
,,BLI,Bellingham International,Bellingham,WA,BLIZ,21
,,BNA,Nashville International,Nashville,TN,BNA Central,891
,,BOI,Boise Air Terminal/Gowen Field,Boise,ID,BOI-Ckpt,49
,,BOS,General Edward Lawrence Logan International,East Boston,MA,A1,82
,,,,,,B1,326
,,,,,,B5,199
,,,,,,C2,612
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,BUF,Buffalo Niagara International,Cheektowaga,NY,Main Checkpoint,79
,,BWI,Baltimore/Washington International Thurgood Marshall,BWI Airport,MD,D/E Checkpoint,143
,,CAE,Columbia Metropolitan,West Columbia,SC,CAE-A,54
,,CID,The Eastern Iowa,Cedar Rapids,IA,CID Passenger,63
,,CLE,Cleveland-Hopkins International,Cleveland,OH,South,86
,,CLL,Easterwood Field,College Station,TX,CLL01,36
,,CLT,Charlotte/Douglas International,Charlotte,NC,A Checkpoint,78
,,,,,,C Checkpoint,63
,,CMH,John Glenn Columbus International,Columbus,OH,B,33
,,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,T3-MCP,241
,,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,13
,,,,,,North Checkpoint,241
,,DEN,Denver International,Denver,CO,North,33
,,,,,,South,531
,,DFW,Dallas-Fort Worth International,DFW Airport,TX,C21,401
,,,,,,D30,32
,,,,,,E18,110
,,,,,,E8,37
,,DLH,Duluth International,Duluth,MN,Checkpoint 1,22
,,DSM,Des Moines International,Des Moines,IA,DSM Passenger (Alpha),106
,,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-2,305
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
10/22/2023,03:00,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Red 3,132
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,229
,,EUG,Mahlon Sweet Field,Eugene,OR,EUGZ,86
,,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,296
,,,,,,CKPT-B1,122
,,,,,,CKPT-B3,5
,,,,,,CKPT-C1,238
,,FAR,Hector International,Fargo,ND,Gate,64
,,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,72
,,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T1 Checkpoint,96
,,,,,,T3E Checkpoint,138
,,,,,,T3F Checkpoint,71
,,FSD,Joe Foss Field,Sioux Falls,SD,Gate,117
,,GEG,Spokane International,Spokane,WA,GEG-A/B,133
,,,,,,GEGC,70
,,GFK,Grand Forks International,Grand Forks,ND,Gate,20
,,GPT,Gulfport-Biloxi International,Gulfport,MS,GPT-A,5
,,GRB,Green Bay/Austin Straubel International,Green Bay,WI,Concourse A,0
,,,,,,Concourse B,0
,,GRK,Robert Gray AAF,Killeen,TX,GRK01,12
,,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,51
,,GSP,Greenville Spartanburg International,Greer,SC,Checkpoint,79
,,GUM,Guam International,Tamuning,GU,GUM01,74
,,HOU,William P Hobby,Houston,TX,CENTRAL,112
,,HRL,Valley International,Harlingen,TX,HRL01,12
,,IAD,Washington Dulles International,Dulles,VA,East Mezzanine,12
,,,,,,Passenger Screening Area:  PreCheck,264
,,IAH,George Bush Intercontinental/Houston,Houston,TX,10/AN Terminal,259
,,,,,,12/AS Terminal,376
,,,,,,30/CN Terminal,105
,,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,Wichita Main,64
,,ILM,Wilmington International,Wilmington,NC,Terminal,57
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,56
,,,,,,Checkpoint B,68
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,185
,,JFK,John F Kennedy International,Jamaica,NY,Terminal 4 Main,197
,,,,,,Terminal 5,334
,,,,,,Terminal 7,0
,,,,,,Terminal 8,1
,,JNU,Juneau International,Juneau,AK,JNU-01,4
,,LAS,Harry Reid International,Las Vegas,NV,Term 1 - AB,829
,,,,,,Term 1 - C,73
,,,,,,Term 1 - CX,459
,,,,,,Term 1 - D,341
,,,,,,Terminal 3 - E Upper,352
,,LAX,Los Angeles International,Los Angeles,CA,Terminal 1 - Passenger,219
,,,,,,Terminal 1.5 – Passenger,199
,,,,,,Terminal 3 - Passenger,188
,,,,,,Terminal 4 - Passenger,65
,,,,,,Terminal 5 - Passenger,138
,,,,,,Terminal 7 - Passenger,186
,,LBB,Lubbock Preston Smith International,Lubbock,TX,LBBA,21
,,LGA,LaGuardia,Flushing,NY,TA CHK,26
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
10/22/2023,03:00,LGA,LaGuardia,Flushing,NY,TB-CHK,329
,,,,,,TC CHK West,155
,,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
,,LIT,Bill and Hillary Clinton National/Adams Field,Little Rock,AR,LITA,1
,,MAF,Midland International Air And Space Port,Midland,TX,MAFA,62
,,MBS,MBS International,Freeland,MI,Passenger Terminal,0
,,MCI,Kansas City International,Kansas City,MO,Passenger Screening Checkpoint,326
,,MCO,Orlando International,Orlando,FL,EAST Checkpoint,151
,,,,,,SOUTH Checkpoint,118
,,,,,,WEST Checkpoint,679
,,MDT,Harrisburg International,Middletown,PA,MDT Main Terminal,18
,,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,361
,,MEM,Memphis International,Memphis,TN,MEM-B,184
,,MFE,Mc Allen Miller International,McAllen,TX,MFE01,54
,,MFR,Rogue Valley International - Medford,Medford,OR,MFRZ,138
,,MHT,Manchester Boston Regional,Manchester,NH,Checkpoint,28
,,MIA,Miami International,Miami,FL,Central-FA-Upper,69
,,,,,,Central-G,30
,,,,,,North 2,192
,,,,,,South-J1,95
,,MKE,General Mitchell International,Milwaukee,WI,CONC C,78
,,,,,,CONC D,65
,,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,North CP,125
,,,,,,South CP,93
,,,,,,T2 CP1,138
,,MSY,Louis Armstrong New Orleans International,Kenner,LA,MSY01,581
,,OAK,Metropolitan Oakland International,Oakland,CA,TERM1,66
,,,,,,TERM2,76
,,OKC,Will Rogers World,Oklahoma City,OK,Main Checkpoint,232
,,ONT,Ontario International,Ontario,CA,T2,123
,,,,,,T4,24
,,ORD,Chicago O'Hare International,Chicago,IL,1,96
,,,,,,10,81
,,,,,,3A,4
,,,,,,4B,46
,,,,,,5,23
,,,,,,6A,102
,,,,,,7,191
,,,,,,7A,130
,,,,,,9,174
,,PDX,Portland International,Portland,OR,PDX A/B/C,149
,,,,,,PDX D/E,271
,,PHL,Philadelphia International,Philadelphia,PA,Checkpoint B,211
,,,,,,Checkpoint D\E,340
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,266
,,,,,,T-4 A,349
,,,,,,T-4 C,463
,,,,,,T-4 D,211
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,247
,,PNS,Pensacola International,Pensacola,FL,PNS-A,51
,,PSC,Tri-Cities,Pasco,WA,PSC Main,44
,,PWM,Portland International Jetport,Portland,ME,Terminal 2,78
,,RDU,Raleigh-Durham International,RDU Airport,NC,Employee Screening Checkpoint (ESC),48
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
10/22/2023,03:00,RDU,Raleigh-Durham International,RDU Airport,NC,Terminal 2 Checkpoint,354
,,ROC,Frederick Douglass/Greater Rochester International,Rochester,NY,Checkpoint,36
,,RSW,Southwest Florida International,Fort Myers,FL,Checkpoint B Lower,7
,,SAN,San Diego International,San Diego,CA,CKPT-6,9
,,SAT,San Antonio International,San Antonio,TX,SAT01,397
,,,,,,SAT02,295
,,SAV,Savannah/Hilton Head International,Savannah,GA,SAV-A,103
,,SBP,San Luis County Regional,San Luis Obispo,CA,SBP01,60
,,SDF,Louisville Muhammad Ali International,Louisville,KY,SDF-A,61
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,335
,,SFO,San Francisco International,San Francisco,CA,Employee Security Checkpoint F,1
,,,,,,Security Checkpoint B,129
,,,,,,Security Checkpoint D,131
,,,,,,Security Checkpoint F-1,207
,,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
,,SHR,Sheridan County,Sheridan,WY,SHR 01,3
,,SHV,Shreveport Regional,Shreveport,LA,Checkpoint SHV01,34
,,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,0
,,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,SJTA,17
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint 5,55
,,,,,,Checkpoint BC,562
,,SLC,Salt Lake City International,Salt Lake City,UT,Main,311
,,SMF,Sacramento International,Sacramento,CA,Terminal A,94
,,STL,St Louis Lambert International,St Louis,MO,T1-C,213
,,,,,,T2-E,82
,,,,,,T2-F,6
,,SYR,Syracuse Hancock International,North Syracuse,NY,Central,55
,,TPA,Tampa International,Tampa,FL,TPA A,47
,,,,,,TPA C,60
,,TUL,Tulsa International,Tulsa,OK,Central Checkpoint,125
,,TUS,Tucson International,Tucson,AZ,ACP,61
,,,,,,BCP,100
,04:00,ABE,Lehigh Valley International,Allentown,PA,ABE Main Terminal,162
,,ABI,Abilene Regional,Abilene,TX,ABIA,4
,,ABQ,Albuquerque International Sunport,Albuquerque,NM,Checkpoint for A/B Gates,512
,,ACT,Waco Regional,Waco,TX,ACTA,67
,,ACY,Atlantic City International,Pleasantville,NJ,Overflow Checkpoint,59
,,AEX,Alexandria International,Alexandria,LA,AEX01,34
,,AGS,Augusta Regional at Bush Field,Augusta,GA,AGS-1,84
,,ALB,Albany International,Albany,NY,Main Checkpoint,522
,,ALW,Walla Walla Regional,Walla Walla,WA,ALW Main,41
,,AMA,Rick Husband Amarillo International,Amarillo,TX,AMA30,93
,,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,210
,,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,F Departure Checkpoint,28
,,,,,,Lower North Checkpoint,321
,,,,,,Main Checkpoint,"1,673"
,,,,,,New T North Checkpoint,672
,,,,,,T South Checkpoint,455
,,ATW,Appleton International,Appleton,WI,Checkpoint,172
,,AUS,Austin-Bergstrom International,Austin,TX,AUS01,"1,012"
,,,,,,AUS02E,136
,,,,,,AUS02W,384
,,,,,,AUS03,194
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
10/22/2023,04:00,AVL,Asheville Regional,Fletcher,NC,AVL-A,250
,,AVP,Wilkes-Barre/Scranton International,Avoca,PA,Checkpoint,145
,,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,Main,23
,,BDL,Bradley International,Windsor Locks,CT,A1,903
,,,,,,A2,245
,,BFL,Meadows Field,Bakersfield,CA,BFL01,187
,,BGR,Bangor International,Bangor,ME,Checkpoint 2,137
,,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,Central,627
,,BIL,Billings Logan International,Billings,MT,BILM,129
,,BIS,Bismarck Municipal,Bismarck,ND,Checkpoint A,117
,,BLI,Bellingham International,Bellingham,WA,BLIZ,133
,,BMI,Central Illinois Regional/Bloomington-Normal,Bloomington,IL,Checkpoint A,79
,,BNA,Nashville International,Nashville,TN,BNA Central,"2,648"
,,BOI,Boise Air Terminal/Gowen Field,Boise,ID,BOI-Ckpt,703
,,BOS,General Edward Lawrence Logan International,East Boston,MA,A1,931
,,,,,,B1,795
,,,,,,B5,696
,,,,,,C2,"1,195"
,,,,,,E2,37
,,BRO,Brownsville/South Padre Island International,Brownsville,TX,BROA,37
,,BTR,"Baton Rouge Metropolitan, Ryan Field",Baton Rouge,LA,BTR01,198
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,391
,,BUF,Buffalo Niagara International,Cheektowaga,NY,Main Checkpoint,809
,,BWI,Baltimore/Washington International Thurgood Marshall,BWI Airport,MD,A Checkpoint,201
,,,,,,B Checkpoint,405
,,,,,,C Checkpoint,252
,,,,,,D/E Checkpoint,"1,019"
,,BZN,Bozeman Yellowstone International,Belgrade,MT,BZNZ,301
,,CAE,Columbia Metropolitan,West Columbia,SC,CAE-A,317
,,CHA,Lovell Field,Chattanooga,TN,CHA-A,201
,,CHO,Charlottesville-Albemarle,Charlottesville,VA,CHO - Checkpoint,59
,,CHS,Charleston AFB/International,Charleston,SC,Checkpoint,758
,,CID,The Eastern Iowa,Cedar Rapids,IA,CID Passenger,205
,,CLE,Cleveland-Hopkins International,Cleveland,OH,Central,282
,,,,,,North,184
,,,,,,South,555
,,CLL,Easterwood Field,College Station,TX,CLL01,46
,,CLT,Charlotte/Douglas International,Charlotte,NC,A Checkpoint,430
,,,,,,C Checkpoint,345
,,,,,,D Checkpoint,80
,,,,,,E Checkpoint,144
,,CMH,John Glenn Columbus International,Columbus,OH,A,309
,,,,,,B,522
,,,,,,C,202
,,COS,City Of Colorado Springs Municipal,Colorado Springs,CO,COS Checkpoint,427
,,COU,Columbia Regional,Columbia,MO,Gate 1 Hold Area,80
,,CPR,Casper/Natrona County International,Casper,WY,CPR 01,7
,,CRP,Corpus Christi International,Corpus Christi,TX,CRP01,25
,,CRW,West Virginia International Yeager,Charleston,WV,CRW01,45
,,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,T3-MCP,"1,236"
,,CWA,Central Wisconsin,Mosinee,WI,Checkpoint,37
,,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,CYS 01,18
,,DAB,Daytona Beach International,Daytona Beach,FL,DAB A,104
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
10/22/2023,04:00,DAL,Dallas Love Field,Dallas,TX,Checkpoint,577
,,DAY,James M Cox Dayton International,Dayton,OH,Main,144
,,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,508
,,,,,,North Checkpoint,494
,,,,,,South Checkpoint,423
,,DEN,Denver International,Denver,CO,A Bridge,126
,,,,,,North,881
,,,,,,South,"2,050"
,,DFW,Dallas-Fort Worth International,DFW Airport,TX,A12,29
,,,,,,A21,251
,,,,,,A35,30
,,,,,,B30,20
,,,,,,B9,40
,,,,,,C10,26
,,,,,,C21,328
,,,,,,C30,45
,,,,,,D18,155
,,,,,,D30,160
,,,,,,E16,264
,,,,,,E18,570
,,,,,,E33,341
,,,,,,E8,248
,,DLH,Duluth International,Duluth,MN,Checkpoint 1,61
