0,1,2,3,4,5,6,7
,,,,,,Terminal 4 Main,195
,,,,,,Terminal 5,599
,,,,,,Terminal 7,0
,,,,,,Terminal 8,212
,,JNU,Juneau International,Juneau,AK,JNU-01,21
,,LAS,Harry Reid International Airport,Las Vegas,NV,Term 1 - AB,471
,,,,,,Term 1 - C,24
,,,,,,Term 1 - CX,379
,,,,,,Term 1 - D,371
,,,,,,Terminal 3 - E Upper,193
,,LAX,Los Angeles International,Los Angeles,CA,Terminal 1 - Passenger,274
,,,,,,Terminal 1.5 – Passenger,106
,,,,,,Terminal 3 - Passenger,137
,,,,,,Terminal 4 - Passenger,80
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,03:00,LAX,Los Angeles International,Los Angeles,CA,Terminal 5 - Passenger,67
,,,,,,Terminal 7 - Passenger,150
,,LBB,Lubbock International,Lubbock,TX,LBBA,45
,,LGA,LaGuardia,Flushing,NY,TA CHK,37
,,,,,,TB-CHK,338
,,,,,,TC CHK West,165
,,LGB,Long Beach Daugherty Field,Long Beach,CA,Checkpoint,0
,,LIT,Little Rock National,Little Rock,AR,LITA,1
,,MAF,Midland International,Midland,TX,MAFA,30
,,MBS,MBS International,Freeland,MI,Passenger Terminal,0
,,MCI,Kansas City International,Kansas City,MO,Passenger Screening Checkpoint,487
,,MCO,Orlando International,Orlando,FL,EAST Checkpoint,148
,,,,,,SOUTH Checkpoint,193
,,,,,,WEST Checkpoint,457
,,MDT,Harrisburg International,Middletown,PA,MDT Main Terminal,8
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,641
,,MEM,Memphis International,Memphis,TN,MEM-B,111
,,MFE,Miller International,McAllen,TX,MFE01,26
,,MFR,Rogue Valley International-Medford,Medford,OR,MFRZ,130
,,MHT,Manchester,Manchester,NH,Checkpoint,12
,,MIA,Miami International,Miami,FL,Central-FA-Upper,26
,,,,,,Central-G,138
,,,,,,North 2,335
,,,,,,South-J1,127
,,MKE,Milwaukee Mitchell International,Milwaukee,WI,CONC C,265
,,,,,,CONC D,30
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,North CP,74
,,,,,,South CP,269
,,,,,,T2 CP1,75
,,MSY,New Orleans International,Kenner,LA,MSY01,485
,,OAK,Metropolitan Oakland International,Oakland,CA,TERM1,16
,,,,,,TERM2,247
,,ONT,Ontario International,Ontario,CA,T2,200
,,,,,,T4,8
,,ORD,Chicago-OHare International,Chicago,IL,1,39
,,,,,,10,112
,,,,,,4B,49
,,,,,,5,12
,,,,,,6A,108
,,,,,,7,118
,,,,,,7A,114
,,,,,,9,174
,,PDX,Portland International Airport,Portland,OR,PDX A/B/C,265
,,,,,,PDX D/E,310
,,PHL,Philadelphia International,Philadelphia,PA,Checkpoint B,216
,,,,,,Checkpoint D\E,466
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,243
,,,,,,T-4 A,442
,,,,,,T-4 C,228
,,,,,,T-4 D,258
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,491
,,PNS,Pensacola International,Pensacola,FL,PNS-A,41
,,PSC,Tri-Cities,Pasco,WA,PSC Main,56
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,95
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,03:00,PVD,Rhode Island T.F. Green International,Warwick,RI,Checkpoint A,71
,,PWM,Portland International Jetport,Portland,ME,Terminal 2,58
,,RAP,Rapid City Regional,Rapid City,SD,1,14
,,RDM,Roberts Field,Redmond,OR,RDMZ,8
,,RDU,Raleigh-Durham International,RDU Airport,NC,Employee Screening Checkpoint (ESC),0
,,,,,,Terminal 1 Checkpoint,50
,,,,,,Terminal 2 Checkpoint,348
,,ROC,Greater Rochester International Airport,Rochester,NY,Checkpoint,54
,,SAN,San Diego Intl-Lindbergh Field,San Diego,CA,CKPT-6,24
,,SAT,San Antonio International,San Antonio,TX,SAT01,466
,,,,,,SAT02,286
,,SAV,Savannah International,Savannah,GA,SAV-A,21
,,SBA,Santa Barbara Municipal,Santa Barbara,CA,SBA01,42
,,SBP,San Luis Obispo County,San Luis Obispo,CA,SBP01,1
,,SDF,Louisville International,Louisville,KY,SDF-A,29
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,447
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint B,131
,,,,,,Security Checkpoint D,141
,,,,,,Security Checkpoint F-1,181
,,SGF,Springfield/Branson National,Springfield,MO,Main Checkpoint,0
,,SHR,Sheridan County Airport,Sheridan,WY,SHR 01,5
,,SHV,Shreveport Regional,Shreveport,LA,Checkpoint SHV01,28
,,SJC,San Jose International,San Jose,CA,Terminal A,0
,,SJT,Mathis Field (San Angelo Regional Airport),San Angelo,TX,SJTA,24
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint 5,111
,,,,,,Checkpoint BC,831
,,SLC,Salt Lake City International,Salt Lake City,UT,Main,252
,,SMF,Sacramento International Airport,Sacramento,CA,Central B,68
,,,,,,Terminal A,68
,,STL,St. Louis Lambert International,St Louis,MO,T1-C,197
,,,,,,T2-E,184
,,,,,,T2-F,25
,,SYR,Syracuse-Hancock International,North Syracuse,NY,Central,53
,,TPA,Tampa International,Tampa,FL,TPA C,184
,,TUL,Tulsa International,Tulsa,OK,Central Checkpoint,122
,,TUS,Tucson International,Tucson,AZ,ACP,43
,,,,,,BCP,174
,,TVC,Cherry Capital,Traverse City,MI,TVC1,39
,04:00,ABE,Lehigh Valley International,Allentown,PA,ABE Main Terminal,107
,,ABQ,Albuquerque International Sunport,Albuquerque,NM,Checkpoint for A/B Gates,609
,,ACT,Waco Regional,Waco,TX,ACTA,58
,,ACV,Arcata-Eureka,McKinleyville,CA,ACV01,17
,,ACY,Atlantic City International,Pleasantville,NJ,Main Checkpoint,179
,,,,,,Overflow Checkpoint,60
,,AEX,Alexandria International,Alexandria,LA,AEX01,41
,,AGS,Bush Field,Augusta,GA,AGS-1,167
,,ALB,Albany County,Albany,NY,Main Checkpoint,498
,,AMA,Amarillo International,Amarillo,TX,AMA30,150
,,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,672
,,ART,Watertown International,Dexter,NY,Gate Area #1,12
,,ATL,Hartsfield Atlanta International,Atlanta,GA,F Departure Checkpoint,59
,,,,,,Lower North Checkpoint,216
,,,,,,Main Checkpoint,"1,060"
,,,,,,New T North Checkpoint,202
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,04:00,ATL,Hartsfield Atlanta International,Atlanta,GA,T South Checkpoint,465
,,ATW,Appleton International Airport,Appleton,WI,Checkpoint,163
,,AUS,Austin Bergstrom International,Austin,TX,AUS01,"1,151"
,,,,,,AUS02E,335
,,,,,,AUS02W,370
,,,,,,AUS03,239
,,AVL,Asheville Regional,Fletcher,NC,AVL-A,111
,,AVP,Wilkes Barre/Scranton International,Avoca,PA,Checkpoint,54
,,AZO,Kalamazoo Municipal,Kalamazoo,MI,Main,0
,,BDL,Bradley International,Windsor Locks,CT,A1,"1,045"
,,,,,,A2,133
,,BFL,"Meadows Field, Bakersfield",Bakersfield,CA,BFL01,74
,,BGR,Bangor International,Bangor,ME,Checkpoint 2,132
,,BHM,Birmingham International,Birmingham,AL,Central,532
,,BIL,Billings Logan,Billings,MT,BILM,157
,,BIS,Bismarck Municipal,Bismarck,ND,Checkpoint A,117
,,BLI,Bellingham International,Bellingham,WA,BLIZ,141
,,BMI,Bloomington-Normal,Bloomington,IL,Checkpoint A,46
,,BNA,Nashville International,Nashville,TN,BNA Central,"2,669"
,,BOI,Boise Air Terminal/Gowen Field,Boise,ID,BOI-Ckpt,421
,,BOS,Logan International,East Boston,MA,A1,"1,046"
,,,,,,B1,824
,,,,,,B5,980
,,,,,,C2,"1,243"
,,,,,,E2,50
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,135
,,BRO,Brownsville/South Padre International,Brownsville,TX,BROA,100
,,BTR,Baton Rouge Metropolitan,Baton Rouge,LA,BTR01,144
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,140
,,BUF,Buffalo Niagara International Airport,Cheektowaga,NY,Main Checkpoint,473
,,BWI,Baltimore-Washington International,BWI Airport,MD,A Checkpoint,256
,,,,,,B Checkpoint,426
,,,,,,C Checkpoint,410
