0,1,2,3,4,5,6,7
,,MIA,Miami International,Miami,FL,North 2,34
,,,,,,South-J1,8
,,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,South CP,12
,,ORD,Chicago O'Hare International,Chicago,IL,10,115
,,,,,,4B,24
,,,,,,6A,36
,,PDX,Portland International,Portland,OR,PDX A/B/C,3
,,,,,,PDX D/E,7
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,14
,,,,,,T-4 A,37
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,17
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,9
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,128
,,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
,,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,0
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,352
,03:00,ABE,Lehigh Valley International,Allentown,PA,ABE Main Terminal,6
,,ABQ,Albuquerque International Sunport,Albuquerque,NM,Checkpoint for A/B Gates,142
,,ACY,Atlantic City International,Pleasantville,NJ,Overflow Checkpoint,4
,,ALB,Albany International,Albany,NY,Main Checkpoint,96
,,AMA,Rick Husband Amarillo International,Amarillo,TX,AMA30,29
,,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,230
,,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,438
,,AUS,Austin-Bergstrom International,Austin,TX,AUS01,361
,,,,,,AUS02E,109
,,,,,,AUS02W,258
,,,,,,AUS03,85
,,BDL,Bradley International,Windsor Locks,CT,A1,147
,,BFL,Meadows Field,Bakersfield,CA,BFL01,57
,,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,Central,99
,,BIL,Billings Logan International,Billings,MT,BILM,31
,,BIS,Bismarck Municipal,Bismarck,ND,Checkpoint A,41
,,BLI,Bellingham International,Bellingham,WA,BLIZ,23
,,BNA,Nashville International,Nashville,TN,BNA Central,917
,,BOI,Boise Air Terminal/Gowen Field,Boise,ID,BOI-Ckpt,75
,,BOS,General Edward Lawrence Logan International,East Boston,MA,A1,266
,,,,,,B1,258
,,,,,,B5,331
,,,,,,C2,646
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,0
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,BUF,Buffalo Niagara International,Cheektowaga,NY,Main Checkpoint,37
,,BWI,Baltimore/Washington International Thurgood Marshall,BWI Airport,MD,B Checkpoint,294
,,,,,,D/E Checkpoint,274
,,CAE,Columbia Metropolitan,West Columbia,SC,CAE-A,35
,,CID,The Eastern Iowa,Cedar Rapids,IA,CID Passenger,24
,,CLE,Cleveland-Hopkins International,Cleveland,OH,South,139
,,CLL,Easterwood Field,College Station,TX,CLL01,16
,,CLT,Charlotte/Douglas International,Charlotte,NC,A Checkpoint,74
,,,,,,C Checkpoint,87
,,CMH,John Glenn Columbus International,Columbus,OH,A,43
,,,,,,B,62
,,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,T3-MCP,67
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,03:00,DAL,Dallas Love Field,Dallas,TX,Checkpoint,70
,,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,38
,,,,,,North Checkpoint,90
,,DEN,Denver International,Denver,CO,North,221
,,,,,,South,794
,,DFW,Dallas-Fort Worth International,DFW Airport,TX,C21,334
,,,,,,D30,66
,,,,,,E18,256
,,,,,,E8,34
,,DLH,Duluth International,Duluth,MN,Checkpoint 1,17
,,DSM,Des Moines International,Des Moines,IA,DSM Passenger (Alpha),47
,,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-2,78
,,,,,,Red 3,97
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,201
,,EUG,Mahlon Sweet Field,Eugene,OR,EUGZ,110
,,EWN,Coastal Carolina Regional,New Bern,NC,Terminal,6
,,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,359
,,,,,,CKPT-B1,97
,,,,,,CKPT-B2,12
,,,,,,CKPT-B3,126
,,,,,,CKPT-C1,299
,,FAR,Hector International,Fargo,ND,Gate,89
,,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,20
,,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T1 Checkpoint,163
,,,,,,T3E Checkpoint,63
,,,,,,T3F Checkpoint,68
,,FSD,Joe Foss Field,Sioux Falls,SD,Gate,117
,,GEG,Spokane International,Spokane,WA,GEG-A/B,117
