Code,Latitude,Longitude
OME,64.5124643,-165.45601519838755
TUS,32.11264765,-110.93463764537913
MKE,42.946542300000004,-87.89725778714413
AIA,42.055055100000004,-102.80870576424876
WAA,65.62301604999999,-168.09480332269186
MIA,25.7949789,-80.28672341095405
CMI,40.0383172,-88.27156684832212
HOB,32.68632,-103.2142949424367
BFF,41.87685875,-103.59491845572903
DEC,39.83349835,-88.86199100508733
MCK,40.20704925,-100.59165758402362
OWB,37.73827615,-87.164491564207
FAY,34.9921371,-78.88416820521829
GGG,32.38381895,-94.71366357672933
BIS,46.7732585,-100.74716366621541
PAX,19.93488935,-72.84678863305224
FNT,42.9607553,-83.74563177999201
FAI,64.8144321,-147.85859129653232
TPA,27.9791649,-82.5349276153517
COS,38.8004299,-104.70327708699932
EAT,47.39918335,-120.2056902534639
MFR,42.3727441,-122.87343834417277
FSM,35.3392525,-94.35697826263008
RHI,45.6314535,-89.47897405074303
HYA,41.6707658,-70.28439042526892
WRG,56.4839528,-132.36889739256793
CVG,39.049906449999995,-84.66515749429266
CHK,-22.3546686,119.64224385424095
TVF,48.0660335,-96.1844694
CEZ,37.3043669,-108.6276045
CMX,47.16827015,-88.48651130231423
MGM,32.2962424,-86.39041851362114
SWO,36.16188335,-97.08746806534933
SWF,41.5020532,-74.12120288016584
LFT,30.203161700000003,-91.98991065628175
BRW,71.28622155,-156.7745707671087
FAR,46.9208925,-96.81448802996968
PKB,39.3434644,-81.44010263463841
CDV,60.49175165,-145.4738853571373
DRO,37.15284235,-107.7586059173994
MRY,36.58705795,-121.84193978436595
HTS,38.36796505,-82.55960211897741
TUP,34.267488650000004,-88.76847486416384
RST,43.904309749999996,-92.49544412529157
FOD,42.55024315,-94.1932797730044
IND,39.7162533,-86.29508388539975
MVY,41.3923919,-70.61459568977313
ROW,33.3006936,-104.5316574
SLN,38.792754099999996,-97.65486608260173
LSE,43.878607,-91.25557153542314
CDC,37.7025428,-113.09910221511782
SBD,34.095996850000006,-117.23456910141377
MDT,40.193209800000005,-76.75294587287746
BLV,38.5461016,-89.8199744606753
BIH,37.3728747,-118.36574944821254
LBB,33.66525745,-101.82668866739934
SJC,37.3633299,-121.9293365260259
MYR,33.680640600000004,-78.92905970872894
ROA,37.32442625,-79.97679739235411
PIE,27.90994325,-82.68771789369217
JAC,43.6087926,-110.73803248494762
JMS,46.9276783,-98.67813530703911
DTW,42.205699100000004,-83.35297537621658
MOT,48.25794645,-101.27700504346882
KCM,37.53790305,36.95420831382031
GEG,47.620044050000004,-117.54236665513882
STL,38.74962725,-90.37047024952082
LAN,42.77810185,-84.58586488928434
GRI,40.970514949999995,-98.30753671710008
ABY,31.5339678,-84.19254493414799
PSP,33.83033915,-116.50964534531111
GUM,13.486490199999999,144.80206025352555
GTR,33.4502,-88.5903986
TEX,31.5817032,-102.8960083
OHT,33.57070845,71.44302100240952
EYW,24.5554773,-81.75961603475078
RDD,40.51108035,-122.29610904753642
TBN,37.739739,-92.13919579402055
HXD,37.123800599999996,97.26338813123307
DEN,39.8606676,-104.68536732610298
COU,38.8168307,-92.2198931
ICT,37.649253,-97.43226330309298
NJC,60.949454349999996,76.48562187563991
TOL,-4.98093375,152.01007939285967
AVL,35.4364233,-82.54088095049624
EAU,44.8689683,-91.4855007489738
SAV,32.12423765,-81.19770644774445
ORD,41.9780813,-87.90918176930403
MKG,43.1703365,-86.2370531
ACP,37.347790399999994,46.12410489796737
DIK,46.80199425,-102.80051985071012
WYS,44.6889409,-111.11688394311122
LBF,41.128020750000005,-100.68862442361578
KTN,55.353764749999996,-131.7083563288072
HOU,29.64714905,-95.27693031319956
SBN,41.7091043,-86.32325340867524
SEA,47.4475673,-122.3080158569515
BGR,44.8072619,-68.81941486105113
SMX,34.8994719,-120.45551617973354
PIA,-27.1891033,116.2846248
LBL,37.044962049999995,-100.95866713745428
DAL,32.84524055,-96.84732187569065
CLE,41.40645365,-81.85110103836394
CHS,32.89929845,-80.03946503050427
SPI,39.843686149999996,-89.67956594615978
HSV,34.63699305,-86.76383388377238
AVP,41.33709205,-75.72257122928625
CVN,34.42584135,-103.07970767542656
LNS,40.12190825,-76.29751266079526
LWB,37.8586232,-80.39963715452262
ALO,42.557709700000004,-92.3940615771661
MSY,29.99420015,-90.26430439366972
NCA,21.9157059,-71.9443193415783
PIR,44.37841305,-100.28256187290475
ABI,61.62916165,-149.04695424399455
PGD,26.9194137,-81.99302810312291
AKN,58.6753166,-156.6493870251819
TWF,42.4817,-114.4877
RIC,37.5073698,-77.3336845
ACY,39.45708535,-74.57027649092205
CAE,33.93886305,-81.1139715103596
MWA,37.75961685,-89.01203491345211
GPT,22.3160874,113.93647839996052
RDM,44.25408195,-121.14906868928065
TRI,36.47344765,-82.40843268699096
CLT,35.21074145,-80.9457435226013
SAW,40.89433405,29.311805841114285
BFD,41.8034637,-78.64030282021798
STT,18.33476905,-64.9724536459818
XWA,48.260548400000005,-103.74677072876773
ISP,40.79580915,-73.09920085803961
BFL,35.4364902,-119.05888379788185
NVA,2.95270075,-75.29333101175598
AUG,44.3220048,-69.79831759997995
LBE,40.2729348,-79.40641957179801
SLK,44.38940195,-74.20465556988803
GCK,37.929671150000004,-100.72643189287152
GAA,9.15,-74.233333
AEX,31.329273649999998,-92.54095486627727
MCN,32.693839499999996,-83.64801777043445
PBG,44.651686600000005,-73.4643666977021
PSE,18.008885999999997,-66.5633497464292
HVR,48.543,-109.7624
SYR,43.1141752,-76.11914451143608
OGG,20.89569785,-156.43404764122727
STX,17.69997805,-64.8059208987329
ONT,34.05414245,-117.59915769373036
IPL,32.83500895,-115.57428270065972
RAP,44.0448069,-103.06068012445681
RFD,42.1966203,-89.10185948684004
LGA,40.7757145,-73.87336398511545
VPS,30.4954202,-86.549503
BQN,18.49346055,-67.13421586611547
TLH,30.39782605,-84.35908394368526
UIN,39.9447505,-91.19378941785472
FLG,35.140398250000004,-111.67020441781051
OAK,37.72225915,-122.21701661553246
MLI,41.44772135,-90.51146650735623
GSN,-31.4596996,137.173996
BLI,48.79368955,-122.53595690761102
LEX,38.03480425,-84.60492174128586
SIT,57.047680549999995,-135.36319363134277
PHF,37.132296499999995,-76.49401292414504
BHB,44.4500096,-68.3621240886538
GFK,47.9518219,-97.17447065299604
TYS,35.809552999999994,-83.99887165077078
INF,19.56168865,5.749792101582232
AOO,40.29686675,-78.32117438468744
PQI,46.691199299999994,-68.047610593994
GRB,44.47848805,-88.14362007159838
FSD,43.58273465,-96.74120311335915
LIT,34.7311092,-92.22457817801748
MSC,33.4590398,-111.7298717822145
SAF,35.61831735,-106.08783160779723
LWS,46.37573125,-117.01550302887455
ATY,44.9129309,-97.14877741142513
LGB,33.815565899999996,-118.15342922166721
MBL,44.2717152,-86.24061217690472
VEL,40.43530255,-109.51160716392765
AGS,33.37230205,-81.9650639098103
IAF,-10.3696728,56.60168884830762
YAK,59.500813550000004,-139.64408083356284
SHR,44.766581200000005,-106.97763854644202
BKW,37.7945921,-81.12226647165667
BRO,25.905718,-97.42552922504089
PSM,43.07902105,-70.81867768406231
SCP,44.701584749999995,6.59979035050325
BDL,41.9405835,-72.68501994264602
SBP,35.237491399999996,-120.64331992943252
ECP,30.35993085,-85.80404564346239
LIH,21.97206585,-159.33671538390365
RNO,39.498646199999996,-119.77333186086474
ITO,19.718830599999997,-155.04755391447696
ORH,42.2686095,-71.87306398339443
MEI,32.32774155,-88.7525782827135
MSP,44.878019050000006,-93.2209280537696
PIT,40.49178275,-80.23702448873742
VLD,30.77831025,-83.2780341085929
SDF,38.1716962,-85.73540756381095
LAX,33.94216754999999,-118.42135906141587
LAS,36.0861034,-115.1611197919236
LCH,30.122422049999997,-93.22206256339959
SHV,32.4451121,-93.82673715989384
EVV,38.04188775,-87.5296839642167
MEM,35.04625645,-89.97689466513185
IAD,38.95226625,-77.4534849116007
BCP,-5.8632507,146.49327607781856
GGW,48.2150307,-106.613465
DFW,32.89651945,-97.0465220537124
CSG,32.51660405,-84.94200790181375
LEB,43.6224249,-72.30625524385158
GUC,38.5323609,-106.93982729134346
PDX,45.587132600000004,-122.59277984939183
ASE,39.22142085,-106.86734117631343
SLC,40.790066100000004,-111.97989846185591
RDU,35.880361449999995,-78.78723821716514
JAX,30.49375,-81.69303816083792
BGM,42.2106484,-75.9815509339948
MDW,41.7854316,-87.75084869357148
FAT,36.776006,-119.71974456209355
BQK,31.259811,-81.4639706620112
CMH,39.99705605,-82.89304061484347
STS,38.51034965,-122.81483384944647
ABQ,35.037669449999996,-106.61096752176844
TNA,36.8572453,117.21173410272695
SUX,42.4036084,-96.3836488
BTM,45.95485055,-112.49659530324134
MOB,30.69214065,-88.24115749066226
AMA,-4.1015945,141.6703234132665
CKB,39.29950215,-80.22843231317773
MBS,43.535796149999996,-84.08284956680652
EWN,35.070979949999995,-77.039500540912
BTV,44.472896500000004,-73.15146136645569
CID,41.8853041,-91.71472418319803
PUW,46.740603300000004,-117.11739258382906
DVL,48.1138202,-98.9072037
BET,60.7789171,-161.83811516174447
TXK,33.45252615,-93.99025019420412
ACT,31.612728500000003,-97.22484008866283
ADQ,57.7535941,-152.5136697
ACK,41.255823899999996,-70.05803775405849
GPI,2.5708431,-77.89779547305525
OKC,35.3955479,-97.5962256
HDN,40.4844693,-107.220936
OLF,48.09407365,-105.57364923786713
INE,7.0653108,171.5515821
OAJ,34.82679245,-77.61493390946566
HRL,26.23004735,-97.65370800918154
DBQ,42.401323399999995,-90.70647729708264
MHT,42.93066555,-71.43880866682775
RKD,44.06139565,-69.10293581534214
PGV,35.63797635,-77.38001839674764
ESC,45.72455915,-87.08899328344751
CHO,38.1410056,-78.45045797911725
PGA,36.9265921,-111.44846739287861
SOW,34.26500865,-110.01040706514166
SMF,38.687223450000005,-121.590370139436
IRK,40.0924817,-92.5432908296509
CDR,42.83845375,-103.09605978687767
BRD,46.40507465,-94.12827992568421
DLG,59.0433568,-158.5112028
SCC,70.19515995,-148.46482215877188
IDA,43.5151828,-112.06610949957255
TTN,40.276411949999996,-74.81321108368704
OMA,41.3011252,-95.88987091468039
SDY,47.70467,-104.19030592888701
SBA,34.4274301,-119.84313992403789
CIU,46.2481556,-84.4691458
GST,58.423770649999994,-135.70631132484405
ART,43.9896298,-76.02236707148876
ALB,42.748015949999996,-73.79855563763934
IAG,43.107266249999995,-78.95234982250545
BNA,36.11958985,-86.68308703291842
PVD,41.72243995,-71.42858821974949
HLN,46.6063969,-111.98274447010309
PSG,56.80197975,-132.94493105430846
LAW,34.569849500000004,-98.41812229900623
FWA,40.9798288,-85.18791163159256
PVC,42.071795699999996,-70.22338042668076
HGR,39.70883285,-77.7267563770384
MSL,34.745892749999996,-87.61152944061621
GTF,47.4800263,-111.37557897482165
AZA,33.30591455,-111.6526441150196
BUR,34.20317265,-118.35917824388531
MLB,28.1027201,-80.64815801235798
SUN,43.50392605,-114.29715419952583
PSC,46.2635986,-119.11890151151918
IWD,46.5274978,-90.13408914920565
MCE,37.284995699999996,-120.51421971702715
OGS,44.681759,-75.4768
ILM,34.27353635,-77.90953507173883
FIS,52.4636853,9.703154999999999
HPN,41.0680174,-73.70833333823488
LCK,39.8132172,-82.934199729754
TXB,15.246905,104.870735
IWA,56.941138,40.938972708101915
BMI,40.4733557,-88.91480264613926
