hourly_temp_2m,hourly_relative_humidity,hourly_precipitation,wind_speed_100,Airline_code
24.792,54.125378,0.,7.42159,DAY
25.842,44.368294,0.,6.6185193,DAY
26.742,41.252884,0.,8.534353,DAY
26.592,42.16812,0.,10.30883,DAY
26.792,42.639572,0.,10.365251,DAY
27.092,41.621536,0.,8.707238,DAY
27.142,42.182705,0.,9.726665,DAY
26.792,43.766567,0.,12.245294,DAY
25.992,50.075077,0.,14.408997,DAY
21.1,92.86611,0.,11.367109,CRW
19.45,98.15008,0.6,10.805998,CRW
19.65,97.24062,0.1,5.3517847,CRW
19.55,96.63405,0.,13.493999,CRW
18.9,94.22115,0.3,10.823973,CRW
19.1,96.32065,0.,10.086427,CRW
18.65,95.704704,0.,11.119281,CRW
18.3,95.09168,0.,13.779114,CRW
17.15,95.3522,0.,14.799459,CRW
16.55,96.249306,0.,13.70839,CRW
15.85,97.47209,0.,13.441071,CRW
16.2,97.47884,0.,8.825508,CRW
17.85,91.81412,0.,0.71999997,CRW
20.35,77.8184,0.,5.4119864,CRW
21.8,71.87157,0.,4.5536795,CRW
23.25,64.36189,0.,4.6938252,CRW
24.75,56.24188,0.,8.707238,CRW
26.,50.400764,0.,11.5199995,CRW
26.65,46.81232,0.,11.525623,CRW
27.35,42.24025,0.,12.605142,CRW
27.5,40.130737,0.,14.05845,CRW
27.,42.281197,0.,12.261158,CRW
26.6,48.49002,0.,10.823973,CRW
25.65,58.10078,0.,11.542478,CRW
25.4705,81.99568,0.,7.072878,KOA
25.1205,81.703026,0.1,7.24486,KOA
25.070501,80.70369,0.,6.0347,KOA
24.4705,85.19632,0.,5.692099,KOA
24.3705,83.89335,0.,9.585739,KOA
23.9205,84.10124,0.,10.233123,KOA
23.1205,91.0034,0.,8.78872,KOA
22.820501,93.23968,0.1,10.630672,KOA
22.6705,94.957855,0.,9.085988,KOA
22.6205,94.37755,0.,6.1305785,KOA
22.570501,91.809395,0.,6.12,KOA
22.3705,90.396645,0.,7.9932976,KOA
23.570501,82.01465,0.,4.198285,KOA
22.4205,90.12225,0.,4.3349743,KOA
22.2705,90.11161,0.,3.0758414,KOA
21.9205,91.77076,0.,5.315336,KOA
21.6205,93.756615,0.,5.3999996,KOA
23.2205,87.99463,0.,7.6367526,KOA
23.7705,85.91127,0.,8.942214,KOA
24.6205,82.64749,0.,9.504273,KOA
25.2205,80.47675,0.,9.3876505,KOA
25.0205,80.204445,0.,9.0645685,KOA
25.320501,78.30299,0.,13.493999,KOA
24.9205,80.43733,0.,12.224107,KOA
36.492,30.602634,0.,17.727943,GRK
35.292,32.074028,0.,25.071098,GRK
33.692,35.39563,0.,28.137632,GRK
32.442,40.0764,0.,26.183659,GRK
31.842,42.655422,0.,31.311722,GRK
31.242,49.09463,0.,28.19285,GRK
29.792,64.159645,0.,33.481937,GRK
28.492,74.15909,0.,28.100763,GRK
27.842,76.55681,0.,23.266697,GRK
27.392,76.95268,0.,19.813087,GRK
27.092,76.90751,0.,17.873556,GRK
26.742,76.854645,0.,15.463244,GRK
25.742,91.17057,0.,13.392774,GRK
26.542,84.38507,0.,7.145796,GRK
27.742,77.70525,0.,11.269782,GRK
29.242,69.52029,0.,8.78872,GRK
31.292,59.42108,0.,11.720751,GRK
33.692,49.274307,0.,14.33234,GRK
35.492,42.579082,0.,8.049845,GRK
36.692,37.82355,0.,12.599998,GRK
37.592,33.630405,0.,15.0038395,GRK
38.092,31.130308,0.,17.068707,GRK
38.192,29.53318,0.,16.485485,GRK
